,mmol_experiment1_reagent1_chemical1,mmol_experiment1_reagent2_chemical2,mmol_experiment1_reagent2_chemical3,mmol_experiment1_reagent3_chemical3,mmol_experiment1_reagent6_chemical5
113,5.0347310953653155,0.1545,0.309,0.045,2.120356289376494
114,0.9757230804971543,0.5265,1.053,0.333,5.406908537910059
115,0.33825066790568015,0.711,1.422,0.0,3.7636324136432764
116,3.2394006272505522,0.3405,0.681,0.108,0.4770801651097111
117,0.9627134394238589,0.2475,0.495,1.1745,0.6891157940473603
118,0.18213497502613546,0.618,1.236,0.333,3.975668042580925
119,0.33825066790568015,0.4335,0.867,0.8325,5.618944166847708
120,4.631432222093159,0.0615,0.123,0.4635,2.332391918314143
121,2.5238703682193053,0.0855,0.171,1.1205,3.1540299804475342
122,1.3399930305494252,0.456,0.912,0.4185,6.440582228981099
123,0.6244627715181786,0.642,1.284,0.108,4.797306104714316
124,1.001742362643745,0.27,0.54,1.0935,1.5107538561807516
125,2.068532930653967,0.363,0.726,0.4455,1.113187051922659
126,0.039028923219886165,0.735,1.47,0.0315,4.3732348468390185
127,1.6912533395284006,0.549,1.098,0.018,6.0165109711058005
128,3.7337669880357764,0.177,0.354,0.4275,2.7299587225722357
129,1.9124172377744224,0.132,0.264,1.1925,1.9348251140560506
130,0.5594145661517017,0.5025,1.005,0.549,5.1948729089724095
131,0.4553374375653386,0.6885,1.377,0.027,3.5515967847056267
132,3.005227087931235,0.3165,0.633,0.261,0.29154898978926785
133,2.601928214659078,0.2235,0.447,0.6795,0.39756680425809254
134,0.07805784643977233,0.5955,1.191,0.4365,3.6576145991744515
135,1.4961087234289698,0.4095,0.819,0.504,5.300890723441235
136,5.958415611569288,0.039,0.078,0.072,2.014338474907669
137,4.2671622720408875,0.027,0.054,0.693,2.83597653704106
138,1.873388314554536,0.3975,0.795,0.4095,6.122528785574626
139,1.0928098501568126,0.5835,1.167,0.1215,4.479252661307843
140,1.4440701591357883,0.213,0.426,1.1115,1.1927004127742777
141,3.304448832617029,0.306,0.612,0.189,1.6167716706495765
142,0.18213497502613546,0.6765,1.353,0.1575,4.9033239191831415
143,0.8065977465443142,0.4905,0.981,0.4995,6.546600043449923
144,2.107561853873853,0.12,0.24,1.161,3.260047794916359
145,1.105819491230108,0.1665,0.333,1.368,2.4384097327829677
146,1.3790219537693114,0.537,1.074,0.162,5.7249619813165324
147,0.15611569287954466,0.723,1.446,0.027,4.0816858570497505
148,2.549889650365896,0.3525,0.705,0.3105,0.7951336085161851
149,3.0572656522244164,0.2595,0.519,0.414,0.5830979795785357
150,0.9497037983505635,0.63,1.26,0.0315,3.8696502281121012
151,2.2246486235335117,0.444,0.888,0.1485,5.512926352378883
152,5.359972122197701,0.0735,0.147,0.1755,2.226374103845318
153,0.7805784643977234,0.0495,0.099,1.8315,3.04801216597871
154,2.081542571727262,0.4215,0.843,0.2655,6.3345644145122755
155,1.2229062608897665,0.6075,1.215,0.0045,4.691288290245492
156,0.8326170286909049,0.2355,0.471,1.2555,1.404736041711927
157,0.9757230804971543,0.3285,0.657,0.927,1.0071692374538346
158,0.2601928214659078,0.7005,1.401,0.0585,4.267217032370193
159,1.5221280055755606,0.5145,1.029,0.18,5.910493156636976
160,2.00348472528749,0.1425,0.285,1.1295,2.6504453617206174
161,3.8638633987687308,0.096,0.192,0.6255,1.8288072995872258
162,2.237658264606807,0.468,0.936,0.072,5.088855094503585
163,0.7805784643977234,0.654,1.308,0.018,3.4720834238540084
164,0.8846555929840865,0.282,0.564,1.098,0.1855311753204432
165,3.070275293297712,0.189,0.378,0.621,0.13252226808603088
166,0.6895109768846557,0.561,1.122,0.3285,3.419074516619596
167,2.7580439075386227,0.375,0.75,0.171,5.035846187269172
168,6.413753049134627,0.003,0.006,0.0225,1.7757983923528133
169,2.5238703682193053,0.0045,0.009,1.3635,2.5974364544862047
170,2.4197932396329422,0.375,0.75,0.288,5.857484249402563
171,0.5464049250784063,0.561,1.122,0.378,4.240712578752988
172,4.436287605993728,0.189,0.378,0.1485,0.9541603302194221
173,1.2879544662562437,0.282,0.564,0.9585,1.3517271344775148
174,0.3512603089789755,0.654,1.308,0.1665,4.63827938301108
175,1.0147520037170403,0.468,0.936,0.495,6.281555507277862
176,1.8863979556278314,0.0975,0.195,1.305,2.9950032587442976
177,4.995702172145429,0.144,0.288,0.09,2.1733651966109058
178,0.5203856429318156,0.5145,1.029,0.5265,5.459917445144471
179,0.299221744685794,0.7005,1.401,0.045,3.8166413208776886
